fp_bits,fp_density,fp_gen_secs,train_frac,repeat,n_pos_train,n_neg_train,n_pos_test,n_neg_test,model,inner_cv_splits,inner_cv_metric,inner_cv_mean,best_params,fit_secs,pred_secs,ROC-AUC,PRC-AUC,Average Precision,Accuracy,F1 Score,MCC,Recall,Precision,TN,FP,FN,TP,False Positive Rate
1024,0.045539844781160355,2.3731164932250977,0.4,1,150,300,94,188,XGBoost,5,roc_auc,0.9087222222222222,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",1.326866865158081,0.0015900135040283203,0.9034065187867814,0.8015247385322539,0.8028617145500189,0.8404255319148937,0.7513812154696132,0.6351757834348449,0.723404255319149,0.7816091954022989,169,19,26,68,0.10106382978723404
1024,0.045539844781160355,2.3731164932250977,0.4,1,150,300,94,188,LogReg,5,roc_auc,0.8765555555555556,"{""C"": 0.01}",0.2738969326019287,0.00083160400390625,0.8867134449977365,0.776330591638178,0.7782639491227911,0.8156028368794326,0.6867469879518072,0.5693040864574422,0.6063829787234043,0.7916666666666666,173,15,37,57,0.0797872340425532
1024,0.045539844781160355,2.3731164932250977,0.4,1,150,300,94,188,SVM,5,roc_auc,0.8521111111111113,"{""C"": 0.1, ""kernel"": ""rbf""}",1.025972843170166,0.028620481491088867,0.8669929832503395,0.6994359406664094,0.706804278042464,0.8156028368794326,0.6941176470588235,0.5707763496218857,0.6276595744680851,0.7763157894736842,171,17,35,59,0.09042553191489362
1024,0.045539844781160355,2.3731164932250977,0.4,1,150,300,94,188,RandomForest,5,roc_auc,0.904888888888889,"{""max_depth"": 10, ""n_estimators"": 500}",1.9445436000823975,0.0526580810546875,0.8941828881846989,0.7329992548518384,0.7399700082737676,0.7978723404255319,0.6459627329192547,0.5243465049014443,0.5531914893617021,0.7761194029850746,173,15,42,52,0.0797872340425532
1024,0.045539844781160355,2.3731164932250977,0.4,2,150,300,94,188,XGBoost,5,roc_auc,0.9026111111111111,"{""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300}",1.487614631652832,0.0025670528411865234,0.9118379357175193,0.7549517245952283,0.7594197528842781,0.8368794326241135,0.7472527472527473,0.6277703362906875,0.723404255319149,0.7727272727272727,168,20,26,68,0.10638297872340426
1024,0.045539844781160355,2.3731164932250977,0.4,2,150,300,94,188,LogReg,5,roc_auc,0.9135,"{""C"": 0.01}",0.24126052856445312,0.0007135868072509766,0.873585332729742,0.7293494682333582,0.731987744791864,0.7730496453900709,0.5897435897435898,0.4601415057116586,0.48936170212765956,0.7419354838709677,172,16,48,46,0.0851063829787234
1024,0.045539844781160355,2.3731164932250977,0.4,2,150,300,94,188,SVM,5,roc_auc,0.9013888888888889,"{""C"": 0.1, ""kernel"": ""rbf""}",0.8967065811157227,0.030429363250732422,0.8539497510185604,0.6753539478998394,0.6826823446212316,0.7659574468085106,0.5714285714285714,0.44112877325628463,0.46808510638297873,0.7333333333333333,172,16,50,44,0.0851063829787234
1024,0.045539844781160355,2.3731164932250977,0.4,2,150,300,94,188,RandomForest,5,roc_auc,0.9161666666666667,"{""max_depth"": 10, ""n_estimators"": 200}",1.565035104751587,0.031081438064575195,0.8928248076052512,0.7169711502014646,0.7244343207734474,0.7695035460992907,0.5517241379310345,0.44951378537160996,0.425531914893617,0.7843137254901961,177,11,54,40,0.05851063829787234
1024,0.045539844781160355,2.3731164932250977,0.6,0,226,452,94,188,XGBoost,5,roc_auc,0.8949560026661475,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300}",1.5946025848388672,0.003482818603515625,0.9034065187867814,0.7550263237411574,0.7573734057482672,0.8368794326241135,0.7553191489361702,0.6329787234042553,0.7553191489361702,0.7553191489361702,165,23,23,71,0.12234042553191489
1024,0.045539844781160355,2.3731164932250977,0.6,0,226,452,94,188,LogReg,5,roc_auc,0.8551096482690687,"{""C"": 0.01}",0.41011929512023926,0.0007987022399902344,0.8739248528746038,0.7484848357121197,0.7503282400408093,0.7730496453900709,0.6097560975609756,0.464363460212572,0.5319148936170213,0.7142857142857143,168,20,44,50,0.10638297872340426
1024,0.045539844781160355,2.3731164932250977,0.6,0,226,452,94,188,SVM,5,roc_auc,0.8359028035839632,"{""C"": 0.1, ""kernel"": ""rbf""}",2.8014988899230957,0.038832664489746094,0.8522238569488456,0.6573425419999644,0.6649182035663124,0.7730496453900709,0.5897435897435898,0.4601415057116586,0.48936170212765956,0.7419354838709677,172,16,48,46,0.0851063829787234
